##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
1911.110, 9.1496725E-03
1913.039, 9.6759470E-03
1914.967, 8.8945664E-03
1916.896, 8.5914535E-03
1918.824, 8.3657261E-03
1920.753, 7.9325531E-03
1922.681, 8.5795363E-03
1924.610, 9.1898656E-03
1926.538, 9.8899333E-03
1928.467, 9.8212771E-03
1930.395, 9.4981994E-03
1932.324, 9.5615033E-03
1934.252, 8.3239144E-03
1936.181, 7.4657388E-03
1938.109, 7.3898588E-03
1940.037, 8.2170963E-03
1941.966, 7.8811590E-03
1943.894, 7.4404441E-03
1945.823, 7.8187846E-03
1947.751, 7.5218151E-03
1949.680, 7.2152941E-03
1951.608, 7.1382392E-03
1953.537, 7.0977081E-03
1955.465, 5.3645540E-03
1957.394, 4.8397770E-03
1959.322, 7.4429740E-03
1961.251, 7.0270509E-03
1963.179, 6.7241839E-03
1965.108, 5.1314370E-03
1967.036, 2.9147430E-03
1968.964, 2.8128659E-03
1970.893, 2.3264010E-03
1972.821, 3.7749780E-03
1974.750, 4.4995290E-03
1976.678, 1.6571900E-03
1978.607, 4.2132488E-03
