##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
1.687408e+003, -1.853570e-004
1.689337e+003, -2.656623e-004
1.691265e+003, -2.355089e-004
1.693194e+003, -1.243468e-004
1.695122e+003, 3.408502e-004
1.697051e+003, 3.355938e-004
1.698979e+003, 3.005885e-004
1.700908e+003, 3.356991e-004
1.702836e+003, -6.099970e-005
1.704765e+003, -7.436066e-005
1.706693e+003, -9.821197e-005
1.708621e+003, -1.614515e-004
1.710550e+003, -1.649395e-004
1.712478e+003, -6.166359e-005
1.714407e+003, 7.293466e-005
1.716335e+003, 3.320512e-004
1.718264e+003, 2.804032e-004
1.720192e+003, -1.867089e-004
1.722121e+003, -1.862495e-004
1.724049e+003, -2.263403e-004
1.725978e+003, -4.449204e-004
1.727906e+003, -4.819423e-004
1.729835e+003, -5.024336e-004
1.731763e+003, -3.177756e-004
1.733692e+003, -5.925473e-005
1.735620e+003, -2.915598e-004
1.737548e+003, -6.280905e-004
1.739477e+003, -6.637637e-004
1.741405e+003, -8.600997e-004
1.743334e+003, -1.047647e-003
1.745262e+003, -1.145490e-003
1.747191e+003, -1.058331e-003
1.749119e+003, -7.942875e-004
1.751048e+003, -6.585051e-004
1.752976e+003, -6.855984e-004
1.754905e+003, -5.016676e-004
1.756833e+003, -3.068125e-004
1.758762e+003, -4.389834e-004
1.760690e+003, -4.498067e-004
1.762619e+003, -3.455385e-004
1.764547e+003, -4.105711e-004
1.766475e+003, -3.358081e-004
1.768404e+003, -2.329914e-004
