##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
1552.416, 2.3724640E-02
1554.344, 2.3682101E-02
1556.273, 2.3581130E-02
1558.201, 2.4045570E-02
1560.130, 2.4025731E-02
1562.058, 2.3833459E-02
1563.986, 2.4048030E-02
1565.915, 2.4388570E-02
1567.843, 2.4708189E-02
1569.772, 2.4874890E-02
1571.700, 2.5199771E-02
1573.629, 2.5426671E-02
1575.557, 2.5589511E-02
1577.486, 2.5381640E-02
1579.414, 2.5549110E-02
1581.343, 2.5822680E-02
1583.271, 2.5780311E-02
1585.200, 2.6221629E-02
1587.128, 2.6392089E-02
1589.057, 2.6817231E-02
1590.985, 2.7279360E-02
1592.913, 2.7055729E-02
1594.842, 2.6937660E-02
1596.770, 2.7687280E-02
1598.699, 2.8585291E-02
1600.627, 2.9126570E-02
1602.556, 2.9395690E-02
1604.484, 2.9477710E-02
1606.413, 2.9629590E-02
1608.341, 3.0271441E-02
1610.270, 3.0743919E-02
1612.198, 3.1570021E-02
1614.127, 3.2391511E-02
1616.055, 3.3286888E-02
1617.984, 3.3726919E-02
1619.912, 3.4243800E-02
1621.840, 3.4961458E-02
1623.769, 3.5284940E-02
1625.697, 3.5555039E-02
1627.626, 3.6240779E-02
1629.554, 3.6534339E-02
1631.483, 3.6712378E-02
1633.411, 3.7821099E-02
1635.340, 3.8736839E-02
1637.268, 3.9349001E-02
1639.197, 4.0189110E-02
1641.125, 4.1048791E-02
1643.054, 4.1954789E-02
1644.982, 4.2945370E-02
1646.911, 4.3625109E-02
1648.839, 4.4389509E-02
1650.767, 4.4956692E-02
1652.696, 4.4932719E-02
1654.624, 4.4646122E-02
1656.553, 4.3685630E-02
1658.481, 4.2365339E-02
1660.410, 4.1744068E-02
1662.338, 4.0543161E-02
1664.267, 3.8409051E-02
1666.195, 3.6519140E-02
1668.124, 3.5217348E-02
1670.052, 3.3712260E-02
1671.981, 3.2198079E-02
1673.909, 3.0890560E-02
1675.838, 2.9802909E-02
1677.766, 2.8592240E-02
1679.694, 2.7401449E-02
1681.623, 2.6727689E-02
1683.551, 2.6405521E-02
1685.480, 2.5889970E-02
1687.408, 2.5032680E-02
1689.337, 2.4545010E-02
1691.265, 2.4036070E-02
1693.194, 2.3788121E-02
1695.122, 2.4153041E-02
1697.051, 2.4163559E-02
1698.979, 2.4427289E-02
1700.908, 2.4180271E-02
1702.836, 2.3616770E-02
1704.765, 2.3982661E-02
1706.693, 2.4101259E-02
1708.621, 2.3717821E-02
1710.550, 2.3420351E-02
1712.478, 2.3909980E-02
1714.407, 2.4225220E-02
1716.335, 2.4012690E-02
1718.264, 2.3420971E-02
1720.192, 2.2918411E-02
1722.121, 2.2704611E-02
1724.049, 2.3208641E-02
1725.978, 2.3411050E-02
1727.906, 2.3224240E-02
1729.835, 2.3312530E-02
1731.763, 2.3557199E-02
1733.692, 2.3736009E-02
1735.620, 2.3485949E-02
1737.548, 2.3234960E-02
1739.477, 2.3462040E-02
1741.405, 2.3328850E-02
1743.334, 2.3242939E-02
1745.262, 2.3137590E-02
1747.191, 2.2865441E-02
1749.119, 2.3173010E-02
1751.048, 2.3266930E-02
1752.976, 2.2628870E-02
1754.905, 2.2596080E-02
1756.833, 2.3041779E-02
1758.762, 2.2999991E-02
1760.690, 2.2930531E-02
1762.619, 2.2685660E-02
1764.547, 2.2438129E-02
1766.475, 2.2465721E-02
1768.404, 2.2556501E-02
1770.332, 2.2596439E-02
1772.261, 2.2958631E-02
1774.189, 2.3078650E-02
1776.118, 2.3075361E-02
1778.046, 2.3534980E-02
1779.975, 2.3740750E-02
1781.903, 2.2996319E-02
1783.832, 2.2939259E-02
1785.760, 2.3276230E-02
1787.689, 2.2812489E-02
1789.617, 2.2885460E-02
1791.546, 2.3490511E-02
1793.474, 2.3469251E-02
1795.402, 2.3799559E-02
1797.331, 2.4446100E-02
1799.259, 2.4503460E-02
1801.188, 2.3839019E-02
1803.116, 2.3589831E-02
1805.045, 2.3212170E-02
1806.973, 2.3027500E-02
1808.902, 2.3281161E-02
1810.830, 2.3538340E-02
1812.759, 2.3422310E-02
1814.687, 2.3230700E-02
1816.616, 2.3248440E-02
1818.544, 2.3291990E-02
1820.473, 2.3231650E-02
1822.401, 2.3245620E-02
1824.329, 2.3243271E-02
1826.258, 2.3715179E-02
1828.186, 2.4035430E-02
1830.115, 2.4103420E-02
1832.043, 2.3410870E-02
1833.972, 2.3180351E-02
1835.900, 2.3439860E-02
1837.829, 2.3764361E-02
1839.757, 2.4065860E-02
1841.686, 2.3871200E-02
1843.614, 2.3583710E-02
1845.543, 2.4015831E-02
1847.471, 2.4790861E-02
1849.400, 2.4563789E-02
1851.328, 2.3434710E-02
1853.256, 2.3782689E-02
1855.185, 2.4052370E-02
1857.113, 2.3515420E-02
1859.042, 2.3292920E-02
1860.970, 2.3286240E-02
1862.899, 2.3229251E-02
1864.827, 2.4004500E-02
1866.756, 2.3940070E-02
1868.684, 2.3516661E-02
1870.613, 2.3266820E-02
1872.541, 2.3249559E-02
1874.470, 2.3781739E-02
1876.398, 2.4114121E-02
1878.327, 2.4470329E-02
1880.255, 2.5052691E-02
1882.183, 2.4847750E-02
1884.112, 2.4405351E-02
1886.040, 2.4092959E-02
1887.969, 2.5033440E-02
1889.897, 2.4646111E-02
1891.826, 2.4638640E-02
1893.754, 2.5369739E-02
1895.683, 2.4590760E-02
1897.611, 2.4084410E-02
1899.540, 2.3561710E-02
1901.468, 2.3150880E-02
1903.397, 2.3601120E-02
